roadId,fromLocationId,toLocationId,distance
1,1,2,180
2,1,6,220
3,1,16,300
4,1,43,650
5,2,3,350
6,2,6,280
7,2,16,250
8,2,21,300
9,3,4,120
10,3,5,180
11,3,17,250
12,3,24,220
13,4,5,160
14,4,17,180
15,4,25,250
16,5,17,200
17,5,18,300
18,5,26,220
19,5,27,280
20,6,16,180
21,6,20,150
22,6,21,250
23,6,23,300
24,7,8,280
25,7,9,350
26,7,12,300
27,7,36,250
28,8,9,180
29,8,10,220
30,8,12,280
31,9,10,160
32,9,11,250
33,9,23,300
34,10,11,180
35,10,16,250
36,10,22,300
37,11,20,280
38,11,21,220
39,12,36,200
40,12,37,250
41,12,39,300
42,13,14,180
43,13,15,350
44,13,20,300
45,13,48,250
46,14,15,280
47,14,33,400
48,15,35,350
49,16,20,180
50,16,21,220
51,16,22,250
52,17,18,250
53,17,25,200
54,17,26,250
55,18,29,300
56,18,30,250
57,19,25,220
58,19,26,180
59,19,29,300
60,20,21,180
61,20,23,250
62,21,22,200
63,21,23,250
64,22,23,180
65,22,24,220
66,23,24,200
67,24,25,250
68,25,26,180
69,26,27,200
70,27,28,160
71,28,29,300
72,29,30,180
73,29,41,350
74,30,41,300
75,31,32,180
76,31,33,200
77,31,35,300
78,32,33,180
79,32,34,250
80,33,34,220
81,34,35,300
82,35,40,250
83,36,37,180
84,36,38,250
85,37,38,180
86,37,39,220
87,38,39,200
88,39,40,300
89,40,43,400
90,41,42,250
91,41,45,400
92,42,45,350
93,43,44,900
94,43,46,1100
95,43,47,500
96,44,45,1300
97,44,49,850
98,45,46,1500
99,45,50,900
100,46,47,600
101,47,48,250
102,48,49,300
103,49,50,180
104,50,43,500
105,48,43,450
106,49,47,350
107,21,48,300
108,20,48,350
109,23,47,280
110,24,45,500
