requestId,locationId,serviceType,priority,status,reportedAt
1,1,Water Supply,HIGH,OPEN,2026-08-01T07:50:00
2,9,Cleaning,MEDIUM,RESOLVED,2026-08-01T08:22:00
3,10,Maintenance,MEDIUM,OPEN,2026-08-01T09:45:00
4,47,Water Supply,MEDIUM,OPEN,2026-08-01T11:15:00
5,6,Cleaning,HIGH,RESOLVED,2026-08-01T12:21:00
6,22,Electrical,HIGH,OPEN,2026-08-01T13:07:00
7,14,Electrical,MEDIUM,ASSIGNED,2026-08-01T13:29:00
8,4,Security,MEDIUM,OPEN,2026-08-01T14:32:00
9,2,Cleaning,MEDIUM,RESOLVED,2026-08-01T15:14:00
10,14,Waste Collection,MEDIUM,OPEN,2026-08-01T15:57:00
11,31,Maintenance,HIGH,OPEN,2026-08-02T08:12:00
12,31,IT Support,LOW,RESOLVED,2026-08-02T08:39:00
13,50,Plumbing,LOW,ASSIGNED,2026-08-02T10:03:00
14,44,Plumbing,HIGH,OPEN,2026-08-02T11:05:00
15,45,Cleaning,MEDIUM,OPEN,2026-08-02T11:59:00
16,42,Electrical,HIGH,OPEN,2026-08-02T12:56:00
17,29,Waste Collection,LOW,ASSIGNED,2026-08-02T13:26:00
18,18,Cleaning,LOW,ASSIGNED,2026-08-02T14:05:00
19,13,IT Support,HIGH,RESOLVED,2026-08-02T14:39:00
20,31,Maintenance,MEDIUM,RESOLVED,2026-08-02T15:29:00
21,24,Water Supply,MEDIUM,OPEN,2026-08-02T15:58:00
22,32,Security,LOW,ASSIGNED,2026-08-03T08:26:00
23,50,Maintenance,HIGH,RESOLVED,2026-08-03T09:41:00
24,23,Electrical,HIGH,OPEN,2026-08-03T10:32:00
25,29,Security,LOW,OPEN,2026-08-03T11:59:00
26,40,Maintenance,LOW,RESOLVED,2026-08-03T12:38:00
27,20,Security,MEDIUM,ASSIGNED,2026-08-03T13:58:00
28,34,Waste Collection,HIGH,OPEN,2026-08-03T15:12:00
29,20,Water Supply,HIGH,OPEN,2026-08-03T16:33:00
30,23,Electrical,LOW,ASSIGNED,2026-08-04T08:24:00
31,11,Maintenance,LOW,OPEN,2026-08-04T09:33:00
32,14,Security,HIGH,RESOLVED,2026-08-04T10:14:00
33,28,Plumbing,MEDIUM,OPEN,2026-08-04T11:03:00
34,48,Maintenance,HIGH,ASSIGNED,2026-08-04T11:53:00
35,17,Electrical,MEDIUM,RESOLVED,2026-08-04T12:34:00
36,26,Maintenance,LOW,OPEN,2026-08-04T13:14:00
37,16,Electrical,HIGH,OPEN,2026-08-04T14:16:00
